partition_size,¡ý business_context_purity,¡ýinter_call_percentage,¡üstructural_modularity,¡ücohesion,¡ýcoupling,¡ümodular_quality,¡ýinterface_number,¡ýnon_extreme_distribution
cogcn,,,,,,,,
3,2.986,0,0.016,0.015782313,0,1,0,1
5,4.187,0,0.011,0.010651974,0,1,0,1
7,3.758,0.233,0.108,0.116594653,0.008281573,3.202,1.714,0.838
9,4.704,0.525,0.123,0.161280277,0.037908497,3.76,3.222,0.243
11,4.694,0.495,0.084,0.110840548,0.027020202,3.928,2.545,0.324
13,3.197,0.672,0.074,0.137644824,0.063912631,4.132,2.846,0.459
15,4.919,0.638,0.088,0.139037037,0.050560847,4.471,2.533,0.568
17,4.89,0.719,0.01,0.080800654,0.070741422,3.221,2.529,0.649
Æ×¾ÛÀà-best_cohension,,,,,,,,
3,2.61,0.193,0.111,0.131519274,0.020408163,2.706,4,0.622
5,2.328,0.292,0.152,0.179632653,0.02744898,4.024,3.8,0.108
7,2.544,0.355,0.2,0.220724513,0.020777371,5.618,3,0.27
9,2.123,0.468,0.202,0.238780864,0.036589506,5.631,3.222,0.378
11,2.336,0.53,0.169,0.210599876,0.041645022,6.481,3,0.405
13,2.154,0.483,0.152,0.202527473,0.050986976,6.33,2.385,0.676
15,1.982,0.535,0.124,0.181018519,0.056613757,6.267,2.4,0.838
17,4.597,0.537,0.09,0.12254902,0.032407407,5.066,2.059,0.757
Æ×¾ÛÀà-best_coup,,,,,,,,
3,2.61,0.149,0.118,0.1364,0.018666667,2.739,3.333,0.73
5,2.576,0.268,0.199,0.225944444,0.0265,4.354,3.4,0.189
7,2.592,0.4,0.202,0.238770546,0.037057387,6.037,3.429,0.243
9,2.448,0.438,0.204,0.264831962,0.061213992,6.664,3,0.378
11,2.35,0.535,0.179,0.230606061,0.051767677,6.94,3.091,0.541
13,2.254,0.592,0.172,0.230769231,0.058404558,6.58,2.923,0.703
15,1.798,0.522,0.079,0.123333333,0.044074074,4.285,2.4,0.73
17,3.559,0.458,0.047,0.079019608,0.031862745,3.712,1.882,0.595
